iter	Passed	Remaining
1239	10539	31958
1240	10548	31950
1241	10556	31940
1242	10564	31931
1243	10572	31920
1244	10580	31909
1245	10587	31898
1246	10595	31887
1247	10602	31876
1248	10611	31867
1249	10618	31856
1250	10626	31845
1251	10634	31835
1252	10642	31824
1253	10650	31814
1254	10658	31805
1255	10666	31795
1256	10674	31785
1257	10682	31774
1258	10689	31763
1259	10697	31751
1260	10704	31740
1261	10712	31729
1262	10720	31719
1263	10727	31708
1264	10735	31698
1265	10743	31688
1266	10751	31677
1267	10759	31667
1268	10767	31656
1269	10775	31646
1270	10783	31636
1271	10791	31626
1272	10799	31617
1273	10807	31607
1274	10815	31598
1275	10824	31590
1276	10832	31580
1277	10840	31570
1278	10847	31559
1279	10855	31549
1280	10863	31538
1281	10871	31528
1282	10878	31517
1283	10887	31508
1284	10894	31497
1285	10902	31486
1286	10909	31475
1287	10917	31464
1288	10925	31453
1289	10932	31441
1290	10940	31431
1291	10948	31421
1292	10955	31410
1293	10964	31401
1294	10972	31391
1295	10979	31380
1296	10987	31369
1297	10994	31358
1298	11016	31387
1299	11055	31464
1300	11063	31455
1301	11071	31444
1302	11079	31435
1303	11087	31425
1304	11094	31414
1305	11102	31404
1306	11111	31395
1307	11119	31385
1308	11127	31374
1309	11134	31363
1310	11142	31352
1311	11150	31342
1312	11157	31331
1313	11164	31319
1314	11172	31308
1315	11179	31296
1316	11187	31286
1317	11195	31275
1318	11202	31263
1319	11210	31253
1320	11217	31242
1321	11225	31232
1322	11233	31220
1323	11240	31207
1324	11247	31195
1325	11255	31187
1326	11262	31173
1327	11269	31161
1328	11276	31148
1329	11283	31135
1330	11290	31123
1331	11297	31110
1332	11304	31097
1333	11310	31083
1334	11317	31070
1335	11324	31057
1336	11331	31044
1337	11338	31033
1338	11346	31021
1339	11352	31008
1340	11360	30996
1341	11366	30982
1342	11374	30972
1343	11381	30959
1344	11387	30946
1345	11395	30934
1346	11402	30921
1347	11408	30906
1348	11414	30893
1349	11421	30879
1350	11428	30866
1351	11434	30853
1352	11442	30844
1353	11449	30830
1354	11455	30815
1355	11461	30801
1356	11468	30787
1357	11474	30773
1358	11480	30759
1359	11487	30745
1360	11493	30731
1361	11500	30719
1362	11508	30708
1363	11514	30693
1364	11520	30678
1365	11526	30664
1366	11533	30650
1367	11539	30637
1368	11546	30623
1369	11552	30610
1370	11558	30595
1371	11565	30581
1372	11571	30568
1373	11578	30554
1374	11584	30541
1375	11591	30527
1376	11597	30514
1377	11604	30501
1378	11610	30488
1379	11617	30475
1380	11624	30463
1381	11631	30450
1382	11637	30435
1383	11644	30423
1384	11652	30413
1385	11659	30401
1386	11665	30387
1387	11672	30374
1388	11679	30362
1389	11685	30348
1390	11691	30334
1391	11697	30320
1392	11704	30308
1393	11711	30294
1394	11717	30280
1395	11723	30266
1396	11730	30253
1397	11736	30240
1398	11743	30227
1399	11750	30215
1400	11756	30201
1401	11763	30190
1402	11770	30176
1403	11776	30163
1404	11783	30150
1405	11789	30136
1406	11796	30123
1407	11802	30110
1408	11809	30098
1409	11815	30083
1410	11821	30069
1411	11828	30057
1412	11834	30043
1413	11841	30029
1414	11847	30016
1415	11854	30003
1416	11860	29991
1417	11867	29977
1418	11873	29964
1419	11880	29951
1420	11886	29938
1421	11892	29924
1422	11899	29910
1423	11905	29897
1424	11911	29883
1425	11918	29870
1426	11924	29856
1427	11930	29842
1428	11936	29829
1429	11943	29816
1430	11950	29804
1431	11958	29795
1432	11964	29782
1433	11971	29770
1434	11978	29759
1435	11984	29745
1436	11990	29731
1437	11997	29718
1438	12004	29706
1439	12010	29693
1440	12017	29680
1441	12037	29700
1442	12083	29786
1443	12090	29774
1444	12097	29761
1445	12104	29749
1446	12110	29737
1447	12117	29724
1448	12125	29714
1449	12131	29702
1450	12137	29688
1451	12145	29676
1452	12151	29664
1453	12158	29651
1454	12164	29637
1455	12170	29624
1456	12177	29612
1457	12183	29599
1458	12190	29586
1459	12196	29573
1460	12203	29560
1461	12209	29547
1462	12215	29533
1463	12221	29519
1464	12228	29506
1465	12234	29493
1466	12241	29481
1467	12247	29468
1468	12254	29455
1469	12260	29442
1470	12267	29430
1471	12274	29418
1472	12280	29404
1473	12286	29391
1474	12293	29379
1475	12300	29366
1476	12306	29353
1477	12312	29340
1478	12319	29327
1479	12325	29314
1480	12331	29301
1481	12337	29287
1482	12344	29274
1483	12350	29262
1484	12357	29249
1485	12363	29237
1486	12370	29225
1487	12376	29212
1488	12383	29199
1489	12390	29188
1490	12397	29176
1491	12403	29163
1492	12410	29151
1493	12416	29138
1494	12423	29126
1495	12429	29113
1496	12435	29099
1497	12442	29088
1498	12449	29076
1499	12455	29063
1500	12462	29050
1501	12468	29038
1502	12475	29025
1503	12481	29012
1504	12487	28999
1505	12494	28988
1506	12501	28976
1507	12507	28963
1508	12514	28951
1509	12521	28939
1510	12527	28927
1511	12534	28915
1512	12540	28902
1513	12547	28891
1514	12554	28879
1515	12561	28867
1516	12568	28858
1517	12575	28846
1518	12582	28834
1519	12589	28823
1520	12596	28811
1521	12603	28801
1522	12610	28789
1523	12617	28777
1524	12623	28765
1525	12631	28755
1526	12638	28744
1527	12645	28732
1528	12651	28721
1529	12659	28711
1530	12666	28699
1531	12673	28688
1532	12680	28677
1533	12687	28666
1534	12694	28656
1535	12701	28645
1536	12708	28634
1537	12715	28622
1538	12722	28611
1539	12729	28599
1540	12736	28588
1541	12742	28575
1542	12748	28563
1543	12755	28552
1544	12762	28540
1545	12769	28528
1546	12775	28516
1547	12783	28506
1548	12790	28494
1549	12797	28483
1550	12804	28473
1551	12810	28460
1552	12817	28448
1553	12823	28437
1554	12830	28425
1555	12837	28413
1556	12844	28402
1557	12850	28390
1558	12858	28380
1559	12865	28369
1560	12871	28356
1561	12878	28346
1562	12885	28335
1563	12892	28322
1564	12899	28312
1565	12906	28301
1566	12913	28290
1567	12920	28279
1568	12927	28268
1569	12933	28255
1570	12940	28244
1571	12946	28232
1572	12954	28222
1573	12961	28211
1574	12968	28201
1575	12976	28192
1576	12984	28183
1577	12992	28175
1578	13001	28167
1579	13008	28157
1580	13015	28147
1581	13023	28138
1582	13031	28128
1583	13038	28118
1584	13045	28108
1585	13054	28099
1586	13118	28211
1587	13126	28203
1588	13134	28194
1589	13141	28184
1590	13148	28173
1591	13156	28163
1592	13164	28155
1593	13172	28146
1594	13181	28139
1595	13188	28128
1596	13196	28119
1597	13203	28108
1598	13210	28098
1599	13217	28087
1600	13224	28077
1601	13232	28067
1602	13239	28056
1603	13246	28045
1604	13253	28034
1605	13261	28024
1606	13268	28014
1607	13276	28005
1608	13282	27993
1609	13289	27982
1610	13296	27970
1611	13303	27959
1612	13309	27948
1613	13317	27938
1614	13324	27926
1615	13330	27915
1616	13336	27902
1617	13343	27891
1618	13350	27879
1619	13356	27866
1620	13362	27854
1621	13369	27842
1622	13375	27830
1623	13381	27818
1624	13388	27806
1625	13394	27794
1626	13400	27781
1627	13407	27770
1628	13413	27757
1629	13419	27744
1630	13427	27734
1631	13433	27722
1632	13439	27709
1633	13445	27697
1634	13452	27686
1635	13459	27675
1636	13465	27663
1637	13472	27651
1638	13478	27638
1639	13484	27627
1640	13491	27615
1641	13497	27603
1642	13503	27590
1643	13518	27595
1644	13524	27583
1645	13530	27571
1646	13537	27559
1647	13543	27547
1648	13549	27535
1649	13556	27523
1650	13562	27511
1651	13569	27499
1652	13575	27487
1653	13581	27475
1654	13588	27464
1655	13595	27453
1656	13602	27442
1657	13608	27430
1658	13615	27418
1659	13621	27407
1660	13627	27395
1661	13634	27384
1662	13641	27373
1663	13647	27361
1664	13654	27349
1665	13660	27338
1666	13667	27326
1667	13673	27314
1668	13680	27302
1669	13686	27290
1670	13693	27279
1671	13699	27268
